Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/23 00:00:00
Report Run Date,08/06/23 09:05:45
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,11/01/21,70.670,67.300,69.275,70.605,67.905,68.240,68.225,69.925,66.590,56.610,58.645,61.575,58.735,62.140,66.115,63.495,62.385,65.550,60.625,59.295,52.450,53.355,58.800,62.955,55.945,60.580,60.385,58.730,52.260,49.255,48.960,49.242,49.875,55.165,58.995,67.790,61.275,66.310,74.445,81.210,79.040,78.680,76.660,78.290,69.530,61.890,63.635,71.385
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,12/01/21,74.505,70.520,70.325,64.180,62.895,62.240,65.715,64.230,63.110,68.820,68.350,70.915,63.625,72.315,74.405,74.115,76.125,79.105,70.915,66.020,53.330,54.240,53.510,53.715,55.765,63.855,63.940,59.155,54.700,57.135,58.630,60.315,57.785,62.730,69.990,76.525,73.595,83.240,79.065,87.015,88.465,87.535,82.205,79.635,78.230,75.175,75.200,75.840
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,13/01/21,74.720,77.275,75.595,70.110,65.530,68.270,69.030,66.245,66.150,70.580,69.090,75.365,70.375,75.085,76.270,76.595,75.280,74.570,73.310,70.965,57.025,56.625,60.935,63.550,57.570,63.885,62.305,56.975,53.850,54.790,55.310,56.255,51.735,54.840,62.295,65.795,66.175,71.860,73.115,73.020,75.345,71.725,71.580,69.665,68.270,62.125,60.740,61.135
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,14/01/21,62.635,63.810,62.715,59.735,58.700,64.140,61.555,60.525,60.525,62.675,62.340,70.775,67.525,70.545,72.510,72.025,73.735,82.695,78.030,74.595,59.470,62.860,63.265,59.610,57.895,62.375,62.515,59.820,60.450,62.595,65.810,66.075,56.960,66.720,80.615,75.595,68.750,72.485,74.275,80.050,81.800,79.220,74.060,71.800,74.070,73.430,69.550,66.780
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,15/01/21,68.665,73.430,74.045,70.940,65.950,76.025,64.105,66.145,65.145,66.420,66.235,74.520,72.890,74.905,74.650,67.570,72.335,74.200,74.715,69.980,60.835,69.500,72.510,71.815,63.565,63.305,65.055,65.600,61.405,63.020,62.875,60.255,61.615,61.975,62.205,64.420,65.980,70.360,69.955,70.825,70.490,71.540,70.745,69.465,64.950,63.200,55.130,54.505
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,16/01/21,58.630,63.240,61.080,56.500,57.700,58.550,64.330,64.760,62.290,57.960,58.640,58.020,61.265,63.525,69.220,69.440,65.195,62.420,64.340,70.545,59.775,60.680,64.050,63.790,60.430,65.575,65.560,62.540,56.530,58.540,60.900,63.435,57.185,56.790,60.120,55.625,58.380,57.755,60.250,65.850,70.655,66.995,63.285,56.215,54.720,61.905,57.235,57.695
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,17/01/21,59.105,64.120,63.980,61.165,60.315,58.565,60.320,62.420,59.110,62.500,58.855,58.935,61.820,56.125,51.655,58.095,63.710,62.745,67.795,59.325,50.965,49.308,51.925,54.480,51.185,53.110,55.955,54.355,51.110,52.920,52.220,50.470,51.500,59.080,62.425,58.105,51.910,54.285,60.840,60.395,57.075,57.860,56.525,52.555,50.930,51.545,51.185,53.090
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,18/01/21,58.010,62.745,65.525,63.620,67.245,61.890,60.000,60.300,57.810,54.690,59.875,60.040,59.950,61.450,68.540,64.525,65.930,65.735,65.850,63.795,54.510,53.620,56.325,54.885,54.500,56.390,54.800,54.700,53.750,53.950,53.960,56.085,54.605,55.615,61.750,68.285,68.275,73.505,76.240,85.305,81.315,78.420,80.010,69.360,61.905,56.955,54.790,60.535
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,19/01/21,64.300,68.925,59.820,60.570,58.485,60.305,59.735,58.575,58.010,60.785,64.135,63.565,63.380,63.240,72.550,71.005,67.765,68.175,66.680,63.535,51.900,51.585,52.290,51.760,50.005,50.085,51.195,50.575,54.520,65.235,69.060,61.470,54.705,60.350,63.420,73.100,62.195,64.025,68.630,73.880,74.195,73.745,68.725,67.230,68.910,66.185,65.195,66.450
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,20/01/21,65.235,69.455,67.205,67.820,66.525,62.335,57.240,56.870,57.040,58.480,61.175,61.995,63.675,63.650,67.080,61.750,67.160,66.340,69.135,67.515,55.725,54.815,55.320,54.895,55.370,54.355,55.830,55.340,52.820,54.615,53.610,54.460,53.405,59.460,62.470,68.640,56.665,60.435,63.940,65.100,65.785,67.885,67.540,67.335,62.085,64.250,67.405,59.975
