Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/2023 00:00
Report Run Date,08/06/2023 09:05
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,11/01/2021,70.67,67.3,69.275,70.605,67.905,68.24,68.225,69.925,66.59,56.61,58.645,61.575,58.735,62.14,66.115,63.495,62.385,65.55,60.625,59.295,52.45,53.355,58.8,62.955,55.945,60.58,60.385,58.73,52.26,49.255,48.96,49.242,49.875,55.165,58.995,67.79,61.275,66.31,74.445,81.21,79.04,78.68,76.66,78.29,69.53,61.89,63.635,71.385,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,12/01/2021,74.505,70.52,70.325,64.18,62.895,62.24,65.715,64.23,63.11,68.82,68.35,70.915,63.625,72.315,74.405,74.115,76.125,79.105,70.915,66.02,53.33,54.24,53.51,53.715,55.765,63.855,63.94,59.155,54.7,57.135,58.63,60.315,57.785,62.73,69.99,76.525,73.595,83.24,79.065,87.015,88.465,87.535,82.205,79.635,78.23,75.175,75.2,75.84,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,13/01/2021,74.72,77.275,75.595,70.11,65.53,68.27,69.03,66.245,66.15,70.58,69.09,75.365,70.375,75.085,76.27,76.595,75.28,74.57,73.31,70.965,57.025,56.625,60.935,63.55,57.57,63.885,62.305,56.975,53.85,54.79,55.31,56.255,51.735,54.84,62.295,65.795,66.175,71.86,73.115,73.02,75.345,71.725,71.58,69.665,68.27,62.125,60.74,61.135,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,14/01/2021,62.635,63.81,62.715,59.735,58.7,64.14,61.555,60.525,60.525,62.675,62.34,70.775,67.525,70.545,72.51,72.025,73.735,82.695,78.03,74.595,59.47,62.86,63.265,59.61,57.895,62.375,62.515,59.82,60.45,62.595,65.81,66.075,56.96,66.72,80.615,75.595,68.75,72.485,74.275,80.05,81.8,79.22,74.06,71.8,74.07,73.43,69.55,66.78,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,15/01/2021,68.665,73.43,74.045,70.94,65.95,76.025,64.105,66.145,65.145,66.42,66.235,74.52,72.89,74.905,74.65,67.57,72.335,74.2,74.715,69.98,60.835,69.5,72.51,71.815,63.565,63.305,65.055,65.6,61.405,63.02,62.875,60.255,61.615,61.975,62.205,64.42,65.98,70.36,69.955,70.825,70.49,71.54,70.745,69.465,64.95,63.2,55.13,54.505,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,16/01/2021,58.63,63.24,61.08,56.5,57.7,58.55,64.33,64.76,62.29,57.96,58.64,58.02,61.265,63.525,69.22,69.44,65.195,62.42,64.34,70.545,59.775,60.68,64.05,63.79,60.43,65.575,65.56,62.54,56.53,58.54,60.9,63.435,57.185,56.79,60.12,55.625,58.38,57.755,60.25,65.85,70.655,66.995,63.285,56.215,54.72,61.905,57.235,57.695,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,17/01/2021,59.105,64.12,63.98,61.165,60.315,58.565,60.32,62.42,59.11,62.5,58.855,58.935,61.82,56.125,51.655,58.095,63.71,62.745,67.795,59.325,50.965,49.308,51.925,54.48,51.185,53.11,55.955,54.355,51.11,52.92,52.22,50.47,51.5,59.08,62.425,58.105,51.91,54.285,60.84,60.395,57.075,57.86,56.525,52.555,50.93,51.545,51.185,53.09,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,18/01/2021,58.01,62.745,65.525,63.62,67.245,61.89,60,60.3,57.81,54.69,59.875,60.04,59.95,61.45,68.54,64.525,65.93,65.735,65.85,63.795,54.51,53.62,56.325,54.885,54.5,56.39,54.8,54.7,53.75,53.95,53.96,56.085,54.605,55.615,61.75,68.285,68.275,73.505,76.24,85.305,81.315,78.42,80.01,69.36,61.905,56.955,54.79,60.535,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,19/01/2021,64.3,68.925,59.82,60.57,58.485,60.305,59.735,58.575,58.01,60.785,64.135,63.565,63.38,63.24,72.55,71.005,67.765,68.175,66.68,63.535,51.9,51.585,52.29,51.76,50.005,50.085,51.195,50.575,54.52,65.235,69.06,61.47,54.705,60.35,63.42,73.1,62.195,64.025,68.63,73.88,74.195,73.745,68.725,67.23,68.91,66.185,65.195,66.45,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,20/01/2021,65.235,69.455,67.205,67.82,66.525,62.335,57.24,56.87,57.04,58.48,61.175,61.995,63.675,63.65,67.08,61.75,67.16,66.34,69.135,67.515,55.725,54.815,55.32,54.895,55.37,54.355,55.83,55.34,52.82,54.615,53.61,54.46,53.405,59.46,62.47,68.64,56.665,60.435,63.94,65.1,65.785,67.885,67.54,67.335,62.085,64.25,67.405,59.975,,
