Meter Sequential - Variable Length - CSV kWh - Electricity,
Report Date,08/06/23 00:00:00
Report Run Date,08/06/23 08:41:19
Company Name,GS - DT V Opco Limited
Reporting Set,HH 1900027426471 - 15042914
Meters in Reporting Set,1
"
"
Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,SumOutsideRange,SumWithinRange,PercentageWithinRange,PercentageOutsideRange,Min_within_range,Max_within_range,Avg_within_range,Min_outside_range,Max_outside_range,Avg_outside_range
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,02/01/21,112.59,106.56,106.865,113.27,102.115,108.085,110.515,107.485,109.555,109.26,112.56,112.58,109.12,115.5,119.665,121.975,113.635,113.905,112.48,110.18,113.92,115.97,106.27,113.02,108.06,106.505,105.975,108.3,101.39,109.92,108.815,108.2,114.45,113.51,113.945,114.175,116.825,115.295,112.96,114.84,117.715,115.38,116.93,115.4,117.8,111.32,121.305,118.745,2106.48,3278.36,30.441,19.504,101.39,121.975,110.867,102.115,121.305,113.047
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,03/01/21,109.12,120.38,112.72,109.635,110.95,111.595,111.67,111.39,105.7,113.99,113.145,110.725,115.145,113.055,111.68,118.7,112.94,110.755,113.72,112.945,111.775,112.72,112.305,106.285,110.595,101.565,106.835,110.12,115.575,116.905,107.175,111.44,123.805,113.22,114.495,114.165,116.385,123.69,115.885,121.93,122.895,115.8,114.975,116.61,115.87,112.29,110.93,113.64,2129.38,3310.46,30.428,19.517,101.565,123.805,112.073,105.7,123.69,114.154
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,04/01/21,110.15,110.51,108.78,107.06,111.84,105.275,111.43,106.715,111.7,111.1,114.725,112.16,119.825,118.665,125.465,120.175,117.465,119.08,118.42,121.035,112.205,117.875,119.63,114.575,112.785,123.89,112.31,115.935,116.465,117.04,122.065,117.29,120.285,127.475,125.255,128.105,138.63,134.855,137.715,142.165,142.315,132.645,132.145,126.425,122.23,123.12,118.8,120.295,2246.0,3510.1,30.49,19.458,112.205,127.475,118.211,105.275,142.315,121.038
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,05/01/21,114.425,114.755,116.615,111.455,112.83,119.41,111.32,114.67,117.715,114.025,126.54,126.21,124.47,124.7,132.365,129.945,120.905,132.92,120.295,124.84,118.8,122.27,116.77,118.785,119.415,115.855,114.745,122.345,116.35,115.01,124.07,125.305,122.31,124.075,127.065,127.175,135.165,127.745,137.97,130.895,126.33,126.8,126.64,121.71,126.455,126.635,118.48,123.485,2305.01,3564.055,30.363,19.586,114.745,132.92,121.316,111.32,137.97,122.898
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,06/01/21,116.08,113.875,116.55,114.935,115.81,114.855,108.455,121.465,111.145,111.345,119.415,120.4,136.15,129.665,133.825,124.615,135.985,121.135,119.25,116.375,118.345,111.695,120.015,112.895,117.57,117.925,113.665,119.49,114.465,118.71,114.67,120.25,125.51,126.58,128.445,132.545,128.495,125.425,129.495,128.6,129.145,122.57,125.325,128.56,114.72,115.81,115.015,111.13,2269.145,3519.25,30.399,19.549,111.695,135.985,119.429,108.455,136.15,121.353
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,07/01/21,115.34,110.97,110.745,104.295,107.385,110.68,104.295,108.025,105.48,113.44,110.92,120.815,126.36,124.375,123.135,131.8,130.14,118.79,121.175,118.24,121.415,116.34,115.695,116.91,113.255,120.29,116.33,117.045,120.225,115.33,112.67,118.96,123.67,129.69,122.28,126.975,127.255,128.185,125.745,114.49,126.525,126.335,114.745,118.735,119.075,117.215,118.105,120.095,2277.97,3402.02,29.947,20.0,112.67,131.8,119.893,104.295,128.185,117.311
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,08/01/21,111.695,117.64,115.155,114.015,118.92,108.6,109.265,112.6,116.19,111.745,116.95,132.295,125.54,122.74,126.68,119.385,119.915,123.38,116.8,126.12,118.61,118.935,115.08,124.015,116.385,123.32,114.36,109.375,126.395,126.385,124.415,123.735,125.48,127.175,120.49,119.535,127.59,116.545,125.12,123.665,123.72,124.55,119.53,124.57,120.52,121.42,124.18,125.535,2299.265,3477.0,30.097,19.851,109.375,127.175,121.014,108.6,132.295,119.897
GS - DT V Opco Limited,Anchor Boulevard,HH 1900027426471 - 15042914,1900027426471.0,15042914.0,KWH,A,09/01/21,125.785,115.895,124.24,117.685,118.265,123.905,107.32,123.015,116.055,119.92,119.25,120.745,121.51,129.72,115.615,127.85,124.175,115.0,121.01,114.0,118.085,118.555,117.135,110.99,118.61,116.67,114.52,112.89,104.44,107.865,110.83,110.89,122.48,125.385,128.4,122.255,118.205,125.44,120.505,123.425,120.425,124.625,115.725,115.2,117.535,115.09,113.785,111.885,2211.38,3471.425,30.543,19.405,104.44,127.85,116.388,107.32,129.72,119.704
